ENSMUST00000178537 ENSMUSG00000095668
ENSMUST00000178862 ENSMUSG00000094569
ENSMUST00000177564 ENSMUSG00000096176
ENSMUST00000179664 ENSMUSG00000096749
ENSMUST00000179883 ENSMUSG00000094552
ENSMUST00000195858 ENSMUSG00000096420
ENSMUST00000179932 ENSMUSG00000096420
ENSMUST00000180001 ENSMUSG00000095656
ENSMUST00000180266 ENSMUSG00000093818
ENSMUST00000103441 ENSMUSG00000076632
ENSMUST00000178815 ENSMUSG00000094957
ENSMUST00000177965 ENSMUSG00000094057
ENSMUST00000178909 ENSMUSG00000094268
ENSMUST00000177646 ENSMUSG00000096884
ENSMUST00000178230 ENSMUSG00000096250
ENSMUST00000178483 ENSMUSG00000095592
ENSMUST00000179262 ENSMUSG00000093876
ENSMUST00000178549 ENSMUSG00000095897
ENSMUST00000193012 ENSMUSG00000103203
ENSMUST00000179166 ENSMUSG00000096396
ENSMUST00000179560 ENSMUSG00000095444
ENSMUST00000179520 ENSMUSG00000094028
ENSMUST00000177839 ENSMUSG00000096568
ENSMUST00000103439 ENSMUSG00000076630
ENSMUST00000103586 ENSMUSG00000076776
ENSMUST00000181360 ENSMUSG00000095689
ENSMUST00000183652 ENSMUSG00000095689
ENSMUST00000103588 ENSMUSG00000076778
ENSMUST00000103674 ENSMUSG00000076862
ENSMUST00000181038 ENSMUSG00000095854
ENSMUST00000187138 ENSMUSG00000095854
ENSMUST00000180380 ENSMUSG00000094562
ENSMUST00000184905 ENSMUSG00000094562
ENSMUST00000180972 ENSMUSG00000096656
ENSMUST00000180859 ENSMUSG00000094212
ENSMUST00000103589 ENSMUSG00000094212
ENSMUST00000103616 ENSMUSG00000096653
ENSMUST00000186370 ENSMUSG00000096653
ENSMUST00000103636 ENSMUSG00000096417
ENSMUST00000103670 ENSMUSG00000076858
ENSMUST00000103263 ENSMUSG00000076462
ENSMUST00000103264 ENSMUSG00000076463
ENSMUST00000103637 ENSMUSG00000076826
ENSMUST00000180549 ENSMUSG00000094220
ENSMUST00000183604 ENSMUSG00000094220
ENSMUST00000103657 ENSMUSG00000095958
ENSMUST00000180938 ENSMUSG00000076863
ENSMUST00000103262 ENSMUSG00000076461
ENSMUST00000103672 ENSMUSG00000096397
ENSMUST00000186545 ENSMUSG00000096397
ENSMUST00000177622 ENSMUSG00000096908
ENSMUST00000103658 ENSMUSG00000076846
ENSMUST00000103265 ENSMUSG00000076464
ENSMUST00000103266 ENSMUSG00000076465
ENSMUST00000181483 ENSMUSG00000096600
ENSMUST00000184883 ENSMUSG00000096600
ENSMUST00000103673 ENSMUSG00000076861
ENSMUST00000186573 ENSMUSG00000076861
ENSMUST00000103676 ENSMUSG00000076864
ENSMUST00000187163 ENSMUSG00000076864
ENSMUST00000193064 ENSMUSG00000076479
ENSMUST00000103280 ENSMUSG00000076479
ENSMUST00000103281 ENSMUSG00000076480
ENSMUST00000179789 ENSMUSG00000096746
ENSMUST00000180717 ENSMUSG00000095387
ENSMUST00000183820 ENSMUSG00000095387
ENSMUST00000178768 ENSMUSG00000094023
ENSMUST00000103580 ENSMUSG00000076770
ENSMUST00000103567 ENSMUSG00000076758
ENSMUST00000185651 ENSMUSG00000076758
ENSMUST00000180711 ENSMUSG00000094468
ENSMUST00000184650 ENSMUSG00000094468
ENSMUST00000181728 ENSMUSG00000094766
ENSMUST00000193003 ENSMUSG00000076499
ENSMUST00000103300 ENSMUSG00000076499
ENSMUST00000178426 ENSMUSG00000096478
ENSMUST00000180687 ENSMUSG00000095426
ENSMUST00000103643 ENSMUSG00000076831
ENSMUST00000103581 ENSMUSG00000096900
ENSMUST00000181210 ENSMUSG00000096149
ENSMUST00000183488 ENSMUSG00000096149
ENSMUST00000191646 ENSMUSG00000076481
ENSMUST00000103282 ENSMUSG00000076481
ENSMUST00000103646 ENSMUSG00000094792
ENSMUST00000181793 ENSMUSG00000094176
ENSMUST00000103648 ENSMUSG00000095088
ENSMUST00000179267 ENSMUSG00000095711
ENSMUST00000184874 ENSMUSG00000095711
ENSMUST00000103660 ENSMUSG00000076848
ENSMUST00000181768 ENSMUSG00000094828
ENSMUST00000183835 ENSMUSG00000094828
ENSMUST00000103267 ENSMUSG00000095574
ENSMUST00000194399 ENSMUSG00000076467
ENSMUST00000103268 ENSMUSG00000076467
